week,Febbre,Tosse_post-virale,Influenzavirus_A_sottotipo_H1N1,Subsalicilato_di_bismuto,Bronchite_acuta,Conseguenze_della_prima_guerra_mondiale,Fattore_di_rischio,week,Pandemia_influenzale,Virus_a_RNA
2019-02,-0.2400601698914582,-0.1944773175542406,-0.053965064785960304,-0.3766025641025641,-0.11202897010908061,-0.06476223254746742,-0.2436065243656867,-0.4411764705882353,-0.18870463622156622,-0.16898582447362934
2019-03,-0.24785669340884062,-0.18422090729783036,-0.06007736045049477,-0.32758295625942685,-0.10466248760447656,-0.12591062926633395,-0.20695730970600085,-0.4215686274509804,-0.2135353359958326,-0.26112674588284346
2019-04,-0.22306119238634572,-0.16370808678500984,-0.04117188781367885,-0.14130844645550528,-0.09913762572602353,-0.14828199391957778,-0.2540777285541684,-0.4019607843137255,-0.1774179545059906,-0.15272566187200332
2019-05,-0.19225853389963818,-0.21499013806706113,-0.04586271937018205,-0.2916352438411262,-0.0678300750814563,-0.12740205357655018,-0.20695730970600085,-0.38235294117647056,-0.17516061816287548,0.14808734625807798
2019-06,-0.210791253736039,-0.1739644970414201,-0.04756847629981958,-0.2981711915535445,-0.08716709165604195,-0.12814776573165831,-0.2593133306484092,-0.3627450980392157,-0.148072582045494,0.2700385657702731
2019-07,-0.2026112946358345,-0.18422090729783036,-0.050695697337488375,-0.32758295625942685,-0.07519655758606035,-0.09384500659668442,-0.1598368908578333,-0.3431372549019608,-0.2135353359958326,-0.09039503856577026
2019-08,-0.20158879974830893,-0.15857988165680473,-0.053965064785960304,-0.2524195575666164,-0.07980060915143788,-0.1385877359031721,-0.2436065243656867,-0.3235294117647059,-0.14355790935926374,-0.11749530956848028
2019-09,-0.22280556866446435,-0.1175542406311637,-0.050695697337488375,-0.33738687782805427,-0.08440466071681542,-0.14007916021338837,-0.16769029399919455,-0.30392156862745096,-0.08938183712450076,-0.2340264748801334
2019-10,-0.21794871794871792,-0.08678500986193292,-0.05680799300202285,-0.26875942684766213,-0.14241571044057233,-0.19675328400160613,0.0207913813934756,-0.28431372549019607,-0.23610869942698384,-0.2719668542839274
2019-11,-0.2237002516910492,-0.1175542406311637,-0.05026925810507899,-0.2981711915535445,-0.11847464230060915,-0.2146503757242012,-0.14413008457511078,-0.2647058823529412,-0.23836603577009896,-0.32345736918907647
2019-12,-0.2487513764354255,-0.1739644970414201,-0.057234432234432225,-0.3635306686777275,-0.12768274543136424,-0.3339643205415017,-0.314287152637938,-0.24509803921568626,-0.2609393992012502,-0.3342974775901605
2019-13,-0.252713544124587,-0.10729783037475343,-0.061498824558526045,-0.4027463549522373,-0.14886138263210089,-0.23925887684276945,-0.33784736206202176,-0.22549019607843138,-0.2722260809168258,-0.25028663748175944
2019-14,-0.2639609878873682,-0.16883629191321498,-0.054817943250779065,-0.330850930115636,-0.18385217452897012,-0.22807319451614752,-0.32737615787354013,-0.20588235294117646,-0.2519100538287897,-0.28009693558474047
2019-15,-0.2611491269466729,-0.12781065088757396,-0.05936662839647913,-0.4321581196581197,-0.19766432922510271,-0.225090345895715,-0.27502013693113175,-0.18627450980392157,-0.2812554262892863,-0.2448665832812174
