week,Febbre,Influenzavirus_A_sottotipo_H1N1,Influenza_asiatica,Pandemia_influenzale,Influenza_di_Hong_Kong,Fago_lambda,Anemia_infettiva_equina,Succussione,Contrazione_tetanica,Fascioliasi
2018-52,-0.3021767343086361,-0.08367366464381389,-0.229442266862649,-0.25868206285813505,-0.1937778130959949,-0.4197802197802198,-0.4010627530364373,-0.2980769230769231,-0.3741772932949403,-0.18860446985446985
2019-01,-0.23814299197734778,-0.06917473074189491,-0.19547199085415642,-0.18870463622156622,-0.1359265734265734,-0.11120879120879124,-0.2826417004048583,-0.2826923076923077,-0.1923591114767585,-0.18860446985446985
2019-02,-0.2400601698914582,-0.053965064785960304,-0.1848562796015025,-0.18870463622156622,-0.1565877304513668,-0.06263736263736266,-0.32211538461538464,-0.2826923076923077,-0.2511826408885232,-0.06022609147609149
2019-03,-0.24785669340884062,-0.06007736045049477,-0.14876286134247915,-0.2135353359958326,-0.1400588048315321,-0.1140659340659341,-0.2760627530364373,-0.175,-0.06401686548745368,-0.14130717255717257
2019-04,-0.22306119238634572,-0.04117188781367885,-0.20821084435734113,-0.1774179545059906,-0.13179434202161475,-0.07692307692307696,-0.30895748987854255,-0.3596153846153846,-0.16562114356232,-0.1683341995841996
2019-05,-0.19225853389963818,-0.04586271937018205,-0.18060999510044093,-0.17516061816287548,-0.11113318499682134,-0.07120879120879124,-0.2036943319838057,-0.14423076923076922,0.00015425750719871874,-0.14806392931392934
2019-06,-0.210791253736039,-0.04756847629981958,-0.19334884860362564,-0.148072582045494,-0.10286872218690399,0.005934065934065902,-0.2629048582995952,-0.20576923076923076,-0.06401686548745368,-0.06022609147609149
2019-07,-0.2026112946358345,-0.050695697337488375,-0.17848685284991014,-0.2135353359958326,-0.1400588048315321,0.03164835164835162,-0.25632591093117413,-0.0057692307692307696,-0.03193130399012748,-0.06698284823284824
2019-08,-0.20158879974830893,-0.053965064785960304,-0.1721174260983178,-0.14355790935926374,-0.1400588048315321,-0.14835164835164838,-0.0655364372469636,-0.31346153846153846,-0.2297922665569724,-0.11428014553014554
2019-09,-0.22280556866446435,-0.050695697337488375,-0.13390086558876366,-0.08938183712450076,-0.09873649078194531,-0.25120879120879125,0.2963056680161943,-0.2519230769230769,-0.31000617030028793,-0.12779365904365905
2019-10,-0.21794871794871792,-0.05680799300202285,-0.14663971909194837,-0.23610869942698384,-0.16071996185632548,-0.28263736263736267,0.10551619433198377,-0.19038461538461537,-0.3153537638831756,-0.18860446985446985
2019-11,-0.2237002516910492,-0.05026925810507899,-0.18060999510044093,-0.23836603577009896,-0.11113318499682134,-0.3140659340659341,0.11867408906882587,-0.2980769230769231,-0.2244446729740847,-0.10076663201663202
2019-12,-0.2487513764354255,-0.057234432234432225,-0.22307284011105663,-0.2609393992012502,-0.15245549904640812,-0.3197802197802198,-0.23001012145748992,-0.31346153846153846,-0.2993109831345125,-0.09400987525987527
2019-13,-0.252713544124587,-0.061498824558526045,-0.229442266862649,-0.2722260809168258,-0.14419103623649077,-0.2197802197802198,-0.3352732793522268,-0.11346153846153846,-0.36348210612916493,-0.11428014553014554
2019-14,-0.2639609878873682,-0.054817943250779065,-0.1848562796015025,-0.2519100538287897,-0.16071996185632548,-0.27120879120879127,-0.2629048582995952,-0.2826923076923077,-0.2672254216371863,-0.10752338877338878
2019-15,-0.2611491269466729,-0.05936662839647913,-0.22094969786052585,-0.2812554262892863,-0.1193976478067387,-0.3026373626373627,-0.22343117408906887,-0.19038461538461537,-0.32604895104895104,-0.12779365904365905
